context_3,context_2,context_1,response
"Страус есть Нанду, а второй подвид мелкий",нига,Эму,Ведущий был выбран!
нига,Эму,Ведущий был выбран!,В преступном сообществе состоит
Эму,Ведущий был выбран!,В преступном сообществе состоит,"синдикат
преступник
бандит"
Ведущий был выбран!,В преступном сообществе состоит,"синдикат
преступник
бандит",Бандит
В преступном сообществе состоит,"синдикат
преступник
бандит",Бандит,братва
"синдикат
преступник
бандит",Бандит,братва,Ведущий был выбран!
,,,✋
,,✋,Привет
,✋,Привет,Привет
,,,"Алкоголизм, наркомания, игромания..."
,,"Алкоголизм, наркомания, игромания...",наркотик
,"Алкоголизм, наркомания, игромания...",наркотик,Зависимость
"Алкоголизм, наркомания, игромания...",наркотик,Зависимость,Зависимость
наркотик,Зависимость,Зависимость,Ведущий был выбран!
,,Ищу смелую пошлую подругу,Юлии напиши
,,,Чо надо?
,,Чо надо?,Ммм... А он и сам непуганый😏
,Чо надо?,Ммм... А он и сам непуганый😏,Вот и посмотрим))
Чо надо?,Ммм... А он и сам непуганый😏,Вот и посмотрим)),А чтотвы мне сделаете)
Ммм... А он и сам непуганый😏,Вот и посмотрим)),А чтотвы мне сделаете),"Ну если ты сможешь здесь пообщаться. Сказать, что ты хочешь - пойдет в личку)"
,,,Это было очень смело😂
,,Это было очень смело😂,А чо мне с ним? За ручку ходить
,,,)) го в лс)
,,)) го в лс),Тут говори! Здесь все свои.
,,,"Часто когда делают фотографию, то говорят, что завален ...."
,,"Часто когда делают фотографию, то говорят, что завален ....",ракурс
,"Часто когда делают фотографию, то говорят, что завален ....",ракурс,Фон
"Часто когда делают фотографию, то говорят, что завален ....",ракурс,Фон,объектив
,,,Всем доброй ночи ✌️🏻
,,Всем доброй ночи ✌️🏻,Привет)
,Всем доброй ночи ✌️🏻,Привет),Как делишки?)
Всем доброй ночи ✌️🏻,Привет),Как делишки?),Замечательно))как у тебя?
Привет),Как делишки?),Замечательно))как у тебя?,"Спасибо, хорошо) откуда вы?)"
Как делишки?),Замечательно))как у тебя?,"Спасибо, хорошо) откуда вы?)",Н . Оскол)а Вы?
